id,user_id,name_si,name_en,todo_1_1,todo_1_2,todo_1_3,todo_2_1,todo_2_2,todo_2_3,todo_3_1,todo_3_2,todo_3_3,todo_4_1,todo_4_2,todo_4_3,todo_5_1,todo_5_2,todo_5_3,todo_6_1,todo_6_2,todo_6_3,todo_7_1,todo_7_2,todo_7_3,todo_8_1,todo_8_2,todo_8_3,todo_9_1,todo_9_2,todo_9_3,todo_10_1,todo_10_2,todo_10_3,todo_11_1,todo_11_2,todo_11_3,todo_12_1,todo_12_2,todo_12_3
1,1,Paradižnik,Tomato,N,N,N,N,N,N,S,S,S,Pi,R,R,Pr,Pr,Pr,R,R,R,P,P,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N
2,1,Paprika in feferoni,Peppers,N,N,N,N,N,S,S,S,Pi,R,R,R,Pr,Pr,Pr,Pr,R,P,P,P,P,P,P,P,P,P,P,P,P,N,N,N,N,N,N,N
3,1,Jajčevec,Eggplant,N,N,N,N,N,S,S,S,Pi,R,R,R,Pr,Pr,Pr,Pr,R,P,P,P,P,P,P,P,P,P,P,P,P,N,N,N,N,N,N,N
4,1,Bob,Fava bean,N,N,N,Pr,Pr,Pr,Pr,R,R,R,R,R,R,R,P,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5,1,Grah,Peas,N,N,N,N,N,N,Pr,Pr,Pr,Pr,R,R,R,P,P,P,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6,1,Koruza,Corn,N,N,N,N,N,N,N,N,N,N,N,Pr,Pr,R,R,R,R,R,R,R,R,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N
7,1,"Bučke, buče in kumare",Pumpkins & Cucumbers,N,N,N,N,N,N,N,N,N,N,S,S,Pr,Pr,Pr,R,P,P,P,P,P,P,P,P,P,P,P,P,N,N,N,N,N,N,N,N
8,1,Lubenica in melona,Melon,N,N,N,N,N,N,N,N,N,S,S,R,R,Pr,Pr,Pr,R,P,P,P,P,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N
9,1,Nizki fižol,Beans (low-growing),N,N,N,N,N,N,N,N,N,N,N,Pr,Pr,R,R,P,P,P,P,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N
10,1,Visoki fižol,Beans (vining),N,N,N,N,N,N,N,N,N,N,N,N,Pr,Pr,R,R,P,P,P,P,P,P,P,P,P,P,P,P,N,N,N,N,N,N,N,N
11,1,Brokoli 1,Broccoli 1,N,N,N,N,S,S,Pi,R,Pr,Pr,R,R,R,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
12,1,Brokoli 2,Broccoli 2,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,Pi,R,Pr,Pr,Pr,R,R,R,R,P,P,P,P,P,P,P,N,N,N,N,N
13,1,Bazilika,Basil,N,N,N,N,N,N,N,S,S,R,R,R,Pr,Pr,Pr,R,R,R,P,P,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N
14,1,Stebelna zelena,Celery,N,N,N,N,S,S,Pi,Pi,R,R,Pr,Pr,Pr,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,N,N,N,N,N,N,N
15,1,Zelje in gl. ohrovt 1,Cabbage and Savoy cabbage 1,N,N,N,N,S,S,Pi,R,Pr,Pr,R,R,R,R,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
16,1,Zelje in gl. ohrovt 2,Cabbage and Savoy cabbage 2,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,Pi,R,Pr,Pr,Pr,R,R,R,R,P,P,P,P,P,P,P,N,N,N,N,N
17,1,Cvetača 1,Cauliflower 1,N,N,N,N,S,S,Pi,R,Pr,Pr,R,R,R,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
18,1,Cvetača 2,Cauliflower 2,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,Pi,R,Pr,Pr,Pr,R,R,R,R,P,P,P,P,P,P,P,N,N,N,N,N
